ID,Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,Birthdate
1361,Zhao Hongfei,2.4,China,software,1299,46,"Beijing, China",China,,0,,True,1979-01-01
1362,Bill and Jean Adderley & family,2.3,United Kingdom,home furnishings,1362,73,"Leicester, United Kingdom",United Kingdom,Married,2,,True,1952-01-01
1363,Bill Alfond,2.3,United States,shoes,1362,72,"Boston, Massachusetts",United States,Married,3,,False,1953-01-01
1364,Susan Alfond,2.3,United States,shoes,1362,75,"Scarborough, Maine",United States,,3,,False,1950-01-01
1365,Ted Alfond,2.3,United States,shoes,1362,76,"Weston, Massachusetts",United States,Married,3,,False,1949-01-01
1366,Carlos Ardila Lülle,2.3,Colombia,"soft drinks, diversified",1362,90,"Bogota, Colombia",Colombia,Married,0,"Bachelor of Engineering, Universidad Nacional de Colombia",True,1935-01-01
1367,Semahat Sevim Arsel,2.3,Turkey,diversified,1362,92,"Istanbul, Turkey",Turkey,Married,0,,False,1933-01-01
1368,Sezai Bacaksiz,2.3,Turkey,diversified,1362,71,"Ankara, Turkey",Turkey,Married,2,,True,1954-01-01
1369,Suhail Bahwan,2.3,Oman,diversified,1362,82,"Muscat, Oman",Oman,Married,15,,True,1943-01-01
1370,Bang Jun-hyuk,2.3,South Korea,online gaming,1362,52,"Seoul, South Korea",South Korea,Married,3,,True,1973-01-01
1371,Bang Shi-hyuk,2.3,South Korea,entertainment,1362,48,"Seoul, South Korea",South Korea,Single,0,,True,1977-01-01
1372,Anand Burman,2.3,India,consumer goods,1362,69,"New Delhi, India",India,Married,2,"Bachelor of Arts / Science, University of Kansas",False,1956-01-01
1373,Cao Longxiang & family,2.3,China,pharmaceuticals,1362,63,"Taixing, China",China,Married,0,,True,1962-01-01
1374,Vanich Chaiyawan,2.3,Thailand,"insurance, beverages",1362,89,"Bangkok, Thailand",Thailand,Married,8,,True,1936-01-01
1375,Chen Zhisong,2.3,China,communication equipment,1362,55,"Xiamen, China",China,,0,"Bachelor of Arts/Science, Xiamen University",True,1970-01-01
1376,Jim Coulter,2.3,United States,private equity,1362,61,"San Francisco, California",United States,Married,3,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Stanford University",True,1964-01-01
1377,"Edward DeBartolo, Jr.",2.3,United States,shopping centers,1362,74,"Tampa, Florida",United States,Married,3,"Bachelor of Arts/Science, Notre Dame University",False,1951-01-01
1378,Maria Del Pino,2.3,Spain,construction,1362,65,"Madrid, Spain",Spain,Married,3,"Bachelor of Arts/Science, IESE Business School",False,1960-01-01
1379,Deng Yingzhong,2.3,China,paper,1362,70,"Zhongshan, China",China,,0,,True,1955-01-01
1380,Bob Ell,2.3,Australia,real estate,1362,76,"Surfers Paradise, Australia",Australia,Married,5,,True,1949-01-01
1381,Sandeep Engineer,2.3,India,plastic pipes,1362,59,"Ahmedabad, India",India,Married,2,,True,1966-01-01
1382,Fong Yun Wah,2.3,Hong Kong,real estate,1362,96,"Hong Kong, Hong Kong",Hong Kong,Widowed,8,,False,1929-01-01
1383,Lindsay Fox,2.3,Australia,"logistics, real estate",1362,84,"Melbourne, Australia",Australia,Married,5,,True,1941-01-01
1384,Mario Germano Giuliani,2.3,Switzerland,pharmaceuticals,1362,49,"Monaco, Monaco",Switzerland,Married,0,"Bachelor of Arts/Economics, Catholic University of the Sacred Heart",False,1976-01-01
1385,Harsh Goenka,2.3,India,diversified,1362,63,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University; Master of Business Administration, International Institute for Management and Development",False,1962-01-01
1386,Noam Gottesman,2.3,United States,hedge funds,1362,59,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Columbia University",True,1966-01-01
1387,Joseph Grendys,2.3,United States,poultry processing,1362,59,"Chicago, Illinois",United States,Single,0,"Bachelor of Arts/Science, Loyola University Chicago",True,1966-01-01
1388,Guan Yihong,2.3,China,restaurant,1362,0,"Guangzhou, China",China,Married,0,,True,0000-01-01
1389,David Hains,2.3,Australia,Investments,1362,90,"Melbourne, Australia",Australia,Widowed,5,"Bachelor of Science in Engineering, University of Melbourne",True,1935-01-01
1390,Michael Hintze,2.3,Australia,investment,1362,67,"London, United Kingdom",Australia,Married,4,"Master of Business Administration, Harvard Business School; Master of Science, University of New South Wales; Bachelor of Arts/Science, University of Sydney",True,1958-01-01
1391,Stewart Horejsi & family,2.3,United States,Berkshire Hathaway,1362,83,"Phoenix, Arizona",United States,Divorced,2,,True,1942-01-01
1392,Hua Xuande & family,2.3,China,pharmaceuticals,1362,77,"Taizhou, China",China,Married,0,,True,1948-01-01
1393,Jared Isaacman,2.3,United States,payment processing,1362,38,"Easton, Pennsylvania",United States,Married,0,"Bachelor of Arts/Science, Embry-Riddle Aeronautical University",True,1987-01-01
1394,David Jiang,2.3,China,e-cigarettes,1362,42,"Beijing, China",China,,0,,True,1983-01-01
1395,Jiang Weiping & family,2.3,China,chemicals,1362,66,"Chengdu, China",China,Married,0,"Bachelor of Science in Engineering, Xihua University",True,1959-01-01
1396,Boris Jordan,2.3,United States,cannabis,1362,54,"New York, New York",United States,Married,5,,True,1971-01-01
1397,Baba Kalyani,2.3,India,engineering,1362,72,"Pune, India",India,Married,1,"Master of Science, Massachusetts Institute of Technology",False,1953-01-01
1398,Jim Kavanaugh,2.3,United States,IT provider,1362,58,"St. Louis, Missouri",United States,,0,"Bachelor of Arts/Science, St. Louis University",True,1967-01-01
1399,Mustafa Rahmi Koc,2.3,Turkey,diversified,1362,90,"Istanbul, Turkey",Turkey,Divorced,3,"Bachelor of Arts/Science, Johns Hopkins University",False,1935-01-01
1400,Eiichi Kuriwada,2.3,Japan,package delivery,1362,74,"Osaka, Japan",Japan,Married,3,"High School Graduate, Arai High School",True,1951-01-01
1401,Lai Jianfa,2.3,China,express delivery,1362,0,"Shanghai, China",China,,0,"Master of Business Administration, Fudan University",True,0000-01-01
1402,Lam Kong,2.3,China,pharmaceuticals,1362,56,"Hong Kong, Hong Kong",China,,0,"Bachelor of Arts/Science, Guangdong Medical College",True,1969-01-01
1403,David Xueling Li,2.3,China,live streaming service,1362,48,"Guangzhou, China",China,,0,,True,1977-01-01
1404,Li Xuhui,2.3,China,soy sauce,1362,52,"Foshan, China",China,,0,,True,1973-01-01
1405,Liang Zhaoxian,2.3,China,appliances,1362,56,"Foshan, China",China,,0,"Bachelor of Arts/Science, South China University of Technology",False,1969-01-01
1406,Liu Ming Chung,2.3,Brazil,paper,1362,58,"Hong Kong, Hong Kong",Brazil,Married,0,,True,1967-01-01
1407,Alexander Mamut,2.3,Russia,investments,1362,61,"Moscow, Russia",Russia,Widowed,5,"LLB, Moscow State University",True,1964-01-01
1408,Daniel Mate,2.3,Spain,"mining, commodities",1362,57,"Kanton Schwyz, Switzerland",Spain,Married,2,"Bachelor of Arts/Science, Universidad Comercial de Deusto; Law Degree, Universidad Comercial de Deusto",True,1968-01-01
1409,Clayton Mathile,2.3,United States,pet food,1362,80,"Brookville, Ohio",United States,Married,5,"Bachelor of Arts/Science, Ohio Northern University",True,1945-01-01
1410,Aristotelis Mistakidis,2.3,Greece,"mining, commodities",1362,59,"Zug, Switzerland",Greece,Married,1,"Bachelor of Arts/Science, London School of Economics",True,1966-01-01
1411,Fernando Roberto Moreira Salles,2.3,Brazil,"banking, minerals",1362,74,"Sao Paulo, Brazil",Brazil,Married,2,"Bachelor of Arts/Science, Fundacao Getulio Vargas",False,1951-01-01
1412,Joao Moreira Salles,2.3,Brazil,"banking, minerals",1362,59,"Rio de Janeiro, Brazil",Brazil,Divorced,1,,False,1966-01-01
1413,Walther Moreira Salles Junior,2.3,Brazil,"banking, minerals",1362,65,"Rio de Janeiro, Brazil",Brazil,Married,1,"Bachelor of Arts/Science, University of Southern California",False,1960-01-01
1414,Eugene Murtagh,2.3,Ireland,building materials,1362,78,"Kingscourt, Ireland",Ireland,Widowed,5,,True,1947-01-01
1415,Nihat Ozdemir,2.3,Turkey,diversified,1362,71,"Ankara, Turkey",Turkey,Widowed,2,,True,1954-01-01
1416,Gretel Packer,2.3,Australia,casinos,1362,55,"Sydney, Australia",Australia,Divorced,3,,False,1970-01-01
1417,Andrew Paradise,2.3,United States,★,1362,39,"San Francisco, California",United States,,0,"Bachelor of Arts/Science, University of Massachusetts",True,1986-01-01
1418,Karl-Johan Persson,2.3,Sweden,H&M,1362,46,"Stockholm, Sweden",Sweden,Married,2,"Bachelor of Arts/Science, London Business School",False,1979-01-01
1419,Tom Persson,2.3,Sweden,H&M,1362,36,"Stockholm, Sweden",Sweden,Married,0,,False,1989-01-01
1420,Stewart Rahr,2.3,United States,drug distribution,1362,75,"New York, New York",United States,Divorced,2,"Bachelor of Arts/Science, New York University",False,1950-01-01
1421,Krit Ratanarak,2.3,Thailand,"media, real estate",1362,75,"Bangkok, Thailand",Thailand,Divorced,1,,False,1950-01-01
1422,Michael Saylor,2.3,United States,cryptocurrency,1362,56,"Vienna, Virginia",United States,Single,0,"Bachelor of Arts/Science, Massachusetts Institute of Technology",True,1969-01-01
1423,"Karl Scheufele, III. & family",2.3,Switzerland,jewelry,1362,82,"Geneva, Switzerland",Switzerland,Married,2,,True,1943-01-01
1424,Stephan Schmidheiny,2.3,Switzerland,investments,1362,73,"Hurden, Switzerland",Switzerland,Married,2,"Doctorate, University of Zurich",False,1952-01-01
1425,Vijay Shekhar Sharma,2.3,India,financial technology,1362,42,"Delhi, India",India,Married,1,"Bachelor of Science in Engineering, Delhi University",True,1983-01-01
1426,Charlotte Soderstrom,2.3,Sweden,H&M,1362,44,"Stockholm, Sweden",Sweden,Married,3,,False,1981-01-01
1427,Sun Huaiqing & family,2.3,China,cosmetics,1362,51,"Guangzhou, China",China,Married,0,"EMBA, Guanghua School of Management",True,1974-01-01
1428,Sze Man Bok,2.3,China,hygiene products,1362,71,"Jinjiang, China",China,Married,1,,True,1954-01-01
1429,Katsumi Tada,2.3,Japan,real estate,1362,75,"Tokyo, Japan",Japan,Married,3,,True,1950-01-01
1430,Ted Turner,2.3,United States,cable television,1362,82,"Atlanta, Georgia",United States,Divorced,5,"Bachelor of Arts/Science, Brown University",False,1943-01-01
1431,Jitendra Virwani,2.3,India,real estate,1362,55,"Bangalore, India",India,Married,4,"Bachelor of Commerce, Bangalore University",False,1970-01-01
1432,Arkady Volozh,2.3,Russia,search engine,1362,57,"Moscow, Russia",Russia,Married,3,"Master of Science, Gubkin Russian State University of Oil and Gas",True,1968-01-01
1433,Lang Walker,2.3,Australia,real estate,1362,75,"Sydney, Australia",Australia,Married,3,"Diploma, High School",True,1950-01-01
1434,Wei Ying-Chiao,2.3,Taiwan,"food, beverages",1362,66,"Taipei, Taiwan",Taiwan,Married,5,,True,1959-01-01
1435,Wu Zhongyi,2.3,China,electronics,1362,47,"Xiamen, China",China,,0,"Bachelor of Arts/Science, Shenzhen University",True,1978-01-01
1436,Elaine Wynn,2.3,United States,"casinos, hotels",1362,79,"Las Vegas, Nevada",United States,Divorced,2,"Bachelor of Arts/Science, George Washington University",True,1946-01-01
1437,Xu Chuanhua & family,2.3,China,"chemicals, logistics",1362,86,"Hangzhou, China",China,Married,2,,True,1939-01-01
1438,Jerry Yang,2.3,United States,Yahoo,1362,52,"Los Altos Hills, California",United States,Married,2,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University",True,1973-01-01
1439,Yang Weidong & family,2.3,China,chemicals,1362,52,"Jiaxing, China",China,Married,0,,True,1973-01-01
1440,Barry Zekelman,2.3,Canada,steel,1362,54,"Windsor, Canada",Canada,,0,"Drop Out, York University",False,1971-01-01
1441,Zhang Xuezheng,2.3,China,telecom,1362,45,"Jiaxing, China",China,,0,,True,1980-01-01
1442,Zhang Yin,2.3,China,paper manufacturing,1362,64,"Dongguan, China",China,Married,2,,True,1961-01-01
1443,Kostyantin Zhevago,2.3,Ukraine,mining,1362,47,"Kiev, Ukraine",Ukraine,Married,2,"Bachelor of Arts/Science, Kiev State Economic University",True,1978-01-01
1444,Jose Joao Abdalla Filho,2.2,Brazil,investments,1444,75,"Rio de Janeiro, Brazil",Brazil,,0,,False,1950-01-01
1445,Abdulla Al Futtaim & family,2.2,United Arab Emirates,"auto dealers, investments",1444,0,"Dubai, United Arab Emirates",United Arab Emirates,Married,0,,False,0000-01-01
1446,Ramon Ang,2.2,Philippines,Diversified,1444,67,"Manila, Philippines",Philippines,Married,8,"Bachelor of Engineering, Far Eastern University",True,1958-01-01
1447,Bill Austin,2.2,United States,hearing aids,1444,79,"Brownsville, Texas",United States,Married,0,"High School Graduate, High School",True,1946-01-01
1448,Acharya Balkrishna,2.2,India,consumer goods,1444,48,"Haridwar, India",India,Single,0,,True,1977-01-01
1449,Richard Barton,2.2,United States,Zillow,1444,53,"Seattle, Washington",United States,Married,3,"Bachelor of Science, Stanford University",True,1972-01-01
1450,Edward Bass,2.2,United States,"oil, investments",1444,75,"Fort Worth, Texas",United States,Married,1,"Bachelor of Arts/Science, Yale University",False,1950-01-01
1451,Thor Bjorgolfsson,2.2,Iceland,investments,1444,54,"London, United Kingdom",Iceland,Married,3,"Bachelor of Arts/Science, New York University",True,1971-01-01
1452,Nikolai Buinov,2.2,Russia,"oil, gas",1444,53,"Irkutsk, Russia",Russia,Married,2,,True,1972-01-01
1453,Bruce Cheng,2.2,Taiwan,electronics,1444,85,"Taipei, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, National Cheng Kung University",True,1940-01-01
1454,Chin Jong Hwa,2.2,Taiwan,auto parts,1444,62,"Taoyuan, Taiwan",Taiwan,Married,2,"Diploma, China University of Technology",True,1963-01-01
1455,Jai Hari & Yadu Hari Dalmia & family,2.2,India,cement,1444,0,"Delhi, India",India,Married,0,,False,0000-01-01
1456,Dermot Desmond,2.2,Ireland,finance,1444,70,"Dublin, Ireland",Ireland,Married,4,,True,1955-01-01
1457,K. Dinesh,2.2,India,software services,1444,66,"Bangalore, India",India,Married,2,"Master of Science, Bangalore University",True,1959-01-01
1458,"Frank Fertitta, III.",2.2,United States,"casinos, mixed martial arts",1444,59,"Las Vegas, Nevada",United States,Married,3,"Bachelor of Arts/Science, University of Southern California",False,1966-01-01
1459,Lorenzo Fertitta,2.2,United States,"casinos, mixed martial arts",1444,52,"Las Vegas, Nevada",United States,Married,3,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, U of San Diego",False,1973-01-01
1460,Maria Franca Fissolo,2.2,Italy,"Nutella, chocolates",1444,86,"Monaco, Monaco",Italy,Widowed,2,,False,1939-01-01
1461,Serge Godin,2.2,Canada,information technology,1444,71,"Westmount, Canada",Canada,Married,2,"Master of Business Administration, Laval University",True,1954-01-01
1462,Gu Wei,2.2,China,consumer electronics,1444,56,"Shenzhen, China",China,Married,2,,True,1969-01-01
1463,Jeffrey Gundlach,2.2,United States,investments,1444,62,"Los Angeles, California",United States,Divorced,0,"Bachelor of Arts/Science, Dartmouth College",True,1963-01-01
1464,Guo Jiangang,2.2,China,household appliances,1444,54,"Foshan, China",China,,0,,True,1971-01-01
1465,Carlos Hank Rhon,2.2,Mexico,banking,1444,73,"Mexico City, Mexico",Mexico,Married,3,"Bachelor of Science in Engineering, Universidad Nacional Autonoma de Mexico",False,1952-01-01
1466,Gerry Harvey,2.2,Australia,retail,1444,81,"Sydney, Australia",Australia,Married,4,,True,1944-01-01
1467,Huang Guanlin,2.2,China,"textiles, apparel",1444,56,"Ningbo, China",China,,0,"Bachelor of Engineering, Zhejiang University of Technology",True,1969-01-01
1468,Huang Wei,2.2,China,real estate,1444,61,"Hangzhou, China",China,Married,0,Wenzhou Normal College,True,1964-01-01
1469,Hui Lin Chit,2.2,China,hygiene products,1444,67,"Jinjiang, China",China,Married,3,,True,1958-01-01
1470,Randal J. Kirk,2.2,United States,pharmaceuticals,1444,67,"Manalapan, Florida",United States,Married,3,"Bachelor of Arts/Science, Radford; Doctor of Jurisprudence, University of Virginia",True,1958-01-01
1471,Leo Koguan,2.2,United States,IT provider,1444,66,"Sugar Land, Texas",United States,Divorced,2,"Master, Columbia University; Law Degree, New York Law School",True,1959-01-01
1472,Miguel Krigsner,2.2,Brazil,cosmetics,1444,71,"Sao Jose dos Pinhais, Brazil",Brazil,Married,2,,True,1954-01-01
1473,Kwek Leng Kee,2.2,Singapore,diversified,1444,66,"Singapore, Singapore",Singapore,Married,0,,False,1959-01-01
1474,Thomas Kwok,2.2,Hong Kong,real estate,1444,69,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Bachelor of Engineering, Imperial College London; Master of Business Administration, London Business School",False,1956-01-01
1475,Lau Cho Kun,2.2,Malaysia,"palm oil, property",1444,85,"Tawau, Sabah, Malaysia",Malaysia,Married,1,,False,1940-01-01
1476,Jeff Lawson,2.2,United States,software,1444,43,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, University of Michigan",True,1982-01-01
1477,Max Levchin,2.2,United States,fintech,1444,45,"San Francisco, California",United States,Married,2,"Bachelor of Science, University of Illinois Urbana Champaign",True,1980-01-01
1478,Li Guoqing,2.2,China,Petro Fibre,1444,51,"Hangzhou, China",China,,0,,True,1974-01-01
1479,Li Shuirong,2.2,China,petrochemicals,1444,64,"Hangzhou, China",China,Married,1,,True,1961-01-01
1480,Li Yongqing,2.2,China,Petro Firbe,1444,56,"Hangzhou, China",China,,0,,True,1969-01-01
1481,Liang Xinjun,2.2,China,conglomerate,1444,53,"Shanghai, China",China,Married,1,"Bachelor of Arts/Science, Fudan University; Bachelor of Arts/Science, Fudan University",True,1972-01-01
1482,Lin Chang Su-O,2.2,Taiwan,real estate,1444,80,"Taipei, Taiwan",Taiwan,Widowed,4,,False,1945-01-01
1483,Lin Fanlian,2.2,China,"energy, real estate",1444,59,"Linyi, China",China,,0,,True,1966-01-01
1484,Scott Lin,2.2,Taiwan,optical components,1444,88,"Taichung, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, National Chung Hsing University",True,1937-01-01
1485,Mao Zhongwu,2.2,China,manufacturing,1444,58,"Changsha, China",China,Married,0,"Bachelor of Arts/Science, National University of Singapore",True,1967-01-01
1486,David McMurtry,2.2,United Kingdom,manufacturing,1444,81,"Wotton-under-Edge, United Kingdom",United Kingdom,Married,3,,True,1944-01-01
1487,Rubens Menin Teixeira de Souza,2.2,Brazil,"home building, banking",1444,65,"Belo Horizonte, Brazil",Brazil,Married,3,"Bachelor of Arts/Science, Universidade Federal de Minas Gerais",True,1960-01-01
1488,Mi Enhua,2.2,China,retail,1444,63,"Urumqi, China",China,Married,0,,True,1962-01-01
1489,Bob Parsons,2.2,United States,web hosting,1444,70,"Scottsdale, Arizona",United States,Married,0,"Bachelor of Arts/Science, University of Baltimore",True,1955-01-01
1490,Catherine Phillips,2.2,Canada,investments,1444,0,"Toronto, Canada",Canada,Married,0,,True,0000-01-01
1491,John Phillips,2.2,Canada,investments,1444,70,"Toronto, Canada",Canada,Married,0,"Law Degree, University of Toronto; Bachelor of Arts/Science, University of Toronto (Trinity College)",True,1955-01-01
1492,Arvind Poddar,2.2,India,tires,1444,63,"Mumbai, India",India,Married,2,,False,1962-01-01
1493,Qian Ying,2.2,China,pig breeding,1444,55,"Nanyang, China",China,Married,0,,True,1970-01-01
1494,Phillip T. (Terry) Ragon,2.2,United States,health IT,1444,71,"Boston, Massachusetts",United States,Married,0,"Bachelor of Arts/Science, Massachusetts Institute of Technology",True,1954-01-01
1495,Alberto Roemmers,2.2,Argentina,pharmaceuticals,1444,94,"Buenos Aires, Argentina",Argentina,Married,4,,False,1931-01-01
1496,Shashi & Ravi Ruia,2.2,India,diversified,1444,0,"Mumbai, India",India,,0,,False,0000-01-01
1497,Vlad Shmunis,2.2,United States,cloud technology,1444,60,"San Francisco, California",United States,Married,0,"Bachelor of Science, San Francisco State University; Master of Science, San Francisco State University",True,1965-01-01
1498,Alberto Siccardi & family,2.2,Switzerland,medical devices,1444,77,"Lugano, Switzerland",Switzerland,Married,3,"Master of Business Administration, SDA Bocconi School of Management; Bachelor of Science, University of Turin",True,1948-01-01
1499,Sebastian Siemiatkowski,2.2,Sweden,fintech,1444,39,"Stockholm, Sweden",Sweden,,0,"Master of Science, Stockholm School of Economics",True,1986-01-01
1500,Salil Singhal,2.2,India,agrochemicals,1444,73,"Delhi, India",India,Married,3,,False,1952-01-01
1501,Dean Solon,2.2,United States,solar systems,1444,56,"Gallatin, Tennessee",United States,Married,0,"Drop Out, Purdue University",True,1969-01-01
1502,Timothy Springer,2.2,United States,biotech,1444,73,"Chestnut Hill, Massachusetts",United States,Married,0,"Ph.D, Harvard University; Bachelor of Science, University of California, Berkeley",True,1952-01-01
1503,Peter Spuhler,2.2,Switzerland,train cars,1444,61,"Weiningen, Switzerland",Switzerland,Married,2,,True,1964-01-01
1504,Tang Yiu,2.2,Hong Kong,fashion retail,1444,87,"Hong Kong, Hong Kong",Hong Kong,Married,2,,True,1938-01-01
1505,Tran Dinh Long,2.2,Vietnam,steel,1444,60,"Hanoi, Vietnam",Vietnam,Married,0,,True,1965-01-01
1506,Anna Katharina Viessmann,2.2,Germany,heating and cooling equipment,1444,0,,Germany,,0,,False,0000-01-01
1507,David Walentas,2.2,United States,real estate,1444,82,"New York, New York",United States,Widowed,1,"Bachelor of Arts/Science, University of Virginia",True,1943-01-01
1508,Wu Lanlan & family,2.2,China,packaging,1444,47,"Shenzhen, China",China,Married,2,"Master of Business Administration, Tongji University",True,1978-01-01
1509,Wu Yiling,2.2,China,pharmaceuticals,1444,71,"Shijiazhuang, China",China,Married,2,"Medical Doctor, Hebei Medical University; Medical Doctor, Nanjing University of Chinese Medicine",True,1954-01-01
1510,Xiang Wenbo,2.2,China,manufacturing,1444,58,"Changsha, China",China,Married,1,"Master of Science, Dalian University of Technology",True,1967-01-01
1511,Xie Liangzhi & family,2.2,China,biotech,1444,55,"Beijing, China",China,Married,0,"Ph.D, Massachusetts Institute of Technology",True,1970-01-01
1512,Xu Yuejuan,2.2,China,Petro Fibre,1444,59,"Hangzhou, China",China,Married,0,,True,1966-01-01
1513,Shintaro Yamada,2.2,Japan,mobile apps,1444,43,"Tokyo, Japan",Japan,,0,,True,1982-01-01
1514,Yang Jian,2.2,China,real estate,1444,49,"Wenzhou, China",China,Married,0,,True,1976-01-01
1515,Gavril Yushvaev,2.2,Russia,"precious metals, real estate",1444,63,"Moscow, Russia",Russia,Married,7,,True,1962-01-01
1516,Zhang Jingzhang & family,2.2,China,precision machinery,1444,85,"Ningbo, China",China,,0,,True,1940-01-01
1517,Michael Ashcroft,2.1,United Kingdom,security,1517,75,"Turks and Caicos Islands, Turks and Caicos Islands",United Kingdom,,0,,True,1950-01-01
1518,George Bishop,2.1,United States,oil & gas,1517,83,"The Woodlands, Texas",United States,Married,0,,True,1942-01-01
1519,Julio Bozano,2.1,Brazil,banking,1517,85,"Rio de Janeiro, Brazil",Brazil,Married,1,,True,1940-01-01
1520,Herb Chambers,2.1,United States,car dealerships,1517,79,"Boston, Massachusetts",United States,Single,0,,True,1946-01-01
1521,Andrew & Peggy Cherng,2.1,United States,restaurants,1517,0,"Las Vegas, Nevada",United States,Married,0,"Master of Arts, University of Missouri; Ph.D, University of Missouri",True,0000-01-01
1522,Jacques D'Amours,2.1,Canada,retail,1517,64,"Montreal, Canada",Canada,Married,2,,True,1961-01-01
1523,Ray Davis,2.1,United States,pipelines,1517,79,"Dallas, Texas",United States,Married,3,"Master of Business Administration, LeTourneau University's School of Business",True,1946-01-01
1524,Diao Zhizhong,2.1,China,software,1517,57,"Beijing, China",China,,0,,True,1968-01-01
1525,Michael Federmann & family,2.1,Israel,"defense, hotels",1517,77,"Tel Aviv, Israel",Israel,Married,3,,True,1948-01-01
1526,William Fisher,2.1,United States,Gap,1517,64,"San Francisco, California",United States,Married,3,"Bachelor of Arts/Science, Princeton University; Master of Business Administration, Stanford University",False,1961-01-01
1527,Bernard Fraisse,2.1,France,pharmaceuticals,1517,64,"Paris, France",France,,0,,True,1961-01-01
1528,Fabricio Garcia,2.1,Brazil,retail,1517,43,"Franca, Brazil",Brazil,Married,0,"Bachelor of Business Administration, Universidade de Sao Paulo",False,1982-01-01
1529,Flavia Bittar Garcia Faleiros,2.1,Brazil,retail,1517,40,"Sao Paulo, Brazil",Brazil,Married,3,,False,1985-01-01
1530,Gordon Getty,2.1,United States,Getty Oil,1517,87,"San Francisco, California",United States,Widowed,7,"Bachelor of Arts/Science, San Francisco Conservatory of Music",False,1938-01-01
1531,Philippe Ginestet & family,2.1,France,retail stores,1517,67,"Pujols, France",France,,0,,True,1958-01-01
1532,Gong Yingying,2.1,China,health IT,1517,36,"Beijing, China",China,Married,0,"Bachelor of Arts/Economics, London School of Economics & Political Science",True,1989-01-01
1533,Lutz Mario Helmig,2.1,Germany,hospitals,1517,74,"Grebenhain, Germany",Germany,Married,2,,True,1951-01-01
1534,Ilkka Herlin,2.1,Finland,"elevators, escalators",1517,62,"Helsinki, Finland",Finland,Married,4,,False,1963-01-01
1535,Arthur Xiaobo Hong,2.1,China,e-commerce,1517,49,"Guangzhou, China",China,,0,,True,1976-01-01
1536,Hong Feng,2.1,China,smartphones,1517,44,"Beijing, China",China,,0,"Master of Science, Purdue University; Bachelor of Science in Engineering, Shanghai Jiaotong University",True,1981-01-01
1537,Huang Shih Tsai,2.1,Hong Kong,real estate,1517,69,"Shenzhen, China",Hong Kong,Married,2,,True,1956-01-01
1538,Jiang Yehua & family,2.1,China,real estate,1517,58,"Chongqing, China",China,,0,,True,1967-01-01
1539,Keeree Kanjanapas,2.1,Thailand,transportation,1517,70,"Bangkok, Thailand",Thailand,Married,2,,True,1955-01-01
1540,Alexander Karp,2.1,United States,software firm,1517,53,"Palo Alto, California",United States,Single,0,"Bachelor of Arts/Science, Haverford College; Doctor of Jurisprudence, Stanford University",True,1972-01-01
1541,Bruce Karsh,2.1,United States,private equity,1517,65,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, University of Virginia",True,1960-01-01
1542,Mustafa Kucuk,2.1,Turkey,fashion retail,1517,57,"Istanbul, Turkey",Turkey,Married,3,,True,1968-01-01
1543,Dominika Kulczyk,2.1,Poland,diversified,1517,43,"Warsaw, Poland",Poland,Divorced,2,"Master, University of Poznan",False,1982-01-01
1544,Philippe Laffont,2.1,United States,hedge fund,1517,53,"New York, New York",United States,Married,0,"Master of Science, Massachusetts Institute of Technology",True,1972-01-01
1545,Henry Laufer,2.1,United States,hedge funds,1517,75,"Lake Worth, Florida",United States,Married,0,"Bachelor of Arts/Science, City College of New York; Doctorate, Princeton University",True,1950-01-01
1546,Frank Laukien,2.1,United States,scientific equipment,1517,61,"Boston, Massachusetts",United States,Married,0,"Doctorate, Harvard University; Bachelor of Arts/Science, Massachusetts Institute of Technology",False,1964-01-01
1547,Mark Leonard & family,2.1,Canada,software,1517,65,"Toronto, Canada",Canada,,0,"Master of Business Administration, The University of Western Ontario - Richard Ivey School of Business; Bachelor of Arts/Science, University of Guelph",True,1960-01-01
1548,Li Wanqiang,2.1,China,smartphones,1517,43,"Beijing, China",China,,0,,True,1982-01-01
1549,Li Weiwei,2.1,China,online games,1517,44,"Shanghai, China",China,,0,,True,1981-01-01
1550,Lin Chen-hai,2.1,Taiwan,real estate,1517,74,"Taipei, Taiwan",Taiwan,Married,2,,True,1951-01-01
1551,Lin Yinsun,2.1,China,agribusiness,1517,57,"Shanghai, China",China,,0,"EMBA, China Europe International Business School",True,1968-01-01
1552,Liu Zhongtian & family,2.1,China,aluminum products,1517,57,"Liaoyang, China",China,Married,0,"Diploma, Liaoning Radio and TV University",True,1968-01-01
1553,Daniel Lubetzky,2.1,United States,snack bars,1517,52,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Trinity University of San Antonio",True,1973-01-01
